"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","MAN_SALE_AMT_10G","MAN_SALE_AMT_20G","MAN_SALE_AMT_30G","MAN_SALE_AMT_40G","MAN_SALE_AMT_50G","MAN_SALE_AMT_60GU","WMAN_SALE_AMT_10G","WMAN_SALE_AMT_20G","WMAN_SALE_AMT_30G","WMAN_SALE_AMT_40G","WMAN_SALE_AMT_50G","WMAN_SALE_AMT_60GU","MAN_APV_CNT_10G","MAN_APV_CNT_20G","MAN_APV_CNT_30G","MAN_APV_CNT_40G","MAN_APV_CNT_50G","MAN_APV_CNT_60GU","WMAN_APV_CNT_10G","WMAN_APV_CNT_20G","WMAN_APV_CNT_30G","WMAN_APV_CNT_40G","WMAN_APV_CNT_50G","WMAN_APV_CNT_60GU","MAN_PRICE_10G","MAN_PRICE_20G","MAN_PRICE_30G","MAN_PRICE_40G","MAN_PRICE_50G","MAN_PRICE_60GU","WMAN_PRICE_10G","WMAN_PRICE_20G","WMAN_PRICE_30G","WMAN_PRICE_40G","WMAN_PRICE_50G","WMAN_PRICE_60GU","DATA_LOAD_DT"
"201603","서울특별시","종로구","사직동","11010530100011000001","경양식 전문점","양식","음식","0","5747043.13","10467880.3","4606331.15","934891","1637871.06","0","11037366.59","4686050.52","3359809.84","1799483.99","589923.48","0","168","434","112","42","42","0","378","182","98","56","28","0","34208.59","24119.54","41127.96","22259.31","38996.93","0","29199.38","25747.53","34283.77","32133.64","21068.7","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","국수 전문점","분식","음식","0","439284.32","8346402.07","3784603.39","5372785.14","2635705.91","0","2128839.39","3345319.03","5406576.31","2737079.21","0","0","34","238","204","238","34","0","136","102","476","136","0","0","12920.13","35068.92","18551.98","22574.73","77520.76","0","15653.23","32797.25","11358.35","20125.58","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","노래방","무도/유흥/가무","관광/여가/오락","0","460688.11","644963.35","3372236.92","0","0","0","460688.11","0","0","0","0","0","18","18","36","0","0","0","18","0","0","0","0","0","25593.78","35831.3","93673.25","0","0","0","25593.78","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","신발 판매","가방/신발/액세서리","소매","0","2893067.84","12318282.58","10207616.73","4512458.02","0","0","9716341.06","12281891.8","9552582.51","0","0","0","18","72","54","36","0","0","90","108","90","0","0","0","160725.99","171087.26","189029.94","125346.06","0","0","107959.35","113721.22","106139.81","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","당구장","PC/오락/당구/볼링등","관광/여가/오락","0","1115394.94","337998.47","1050611.9","0","0","0","0","0","0","0","0","0","84","28","84","0","0","0","0","0","0","0","0","0","13278.51","12071.37","12507.28","0","0","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","면/만두/수제비 전문점","한식","음식","0","779648","3449675.34","2381664.38","779647.98","0","0","256322.64","2403024.61","1409774.45","1473855.08","758287.77","0","66","164","98","44","0","0","33","88","88","55","11","0","11812.85","21034.61","24302.7","17719.27","0","0","7767.35","27307.1","16020.16","26797.37","68935.25","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","무도유흥주점-종합","무도/유흥/가무","관광/여가/오락","0","0","95902.51","2349611.45","0","0","0","0","0","0","0","0","0","0","10","20","0","0","0","0","0","0","0","0","0","0","9590.25","117480.57","0","0","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","사진관","사진","생활서비스","0","5849928.89","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","58499.29","0","0","0","0","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","슈퍼마켓 일반점","종합소매점","소매","0","83940.2","770384.4","220109.82","209850.48","41970.1","0","88603.54","135236.98","83940.18","0","0","0","18","117","27","36","9","0","18","18","9","0","0","0","4663.34","6584.48","8152.22","5829.18","4663.34","0","4922.42","7513.17","9326.69","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","신용카드단말기판매","기타판매업","소매","0","1762218.04","585269.99","2865473.34","2050580.99","0","0","224282.3","1708817.49","276614.83","0","0","0","44","22","77","32","0","0","11","44","11","0","0","0","40050.41","26603.18","37213.94","64080.66","0","0","20389.3","38836.76","25146.8","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","의류 판매-남성전문","의복","소매","0","548754.21","164626.26","342971.37","2057828.26","2826084.17","0","521316.49","0","3676653.18","205782.82","0","0","14","14","14","14","42","0","14","0","28","14","0","0","39196.73","11759.02","24497.96","146987.73","67287.72","0","37236.89","0","131309.04","14698.77","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","잡화점","종합소매점","소매","0","0","817649.33","0","0","265470.56","0","3201574.98","1045954.01","995514.62","0","0","0","0","54","0","0","27","0","189","54","27","0","0","0","0","15141.65","0","0","9832.24","0","16939.55","19369.52","36870.91","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","정기간행물 판매","책/서적/도서","소매","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","중국음식/중국집","중식","음식","0","7660682.38","40336372.01","34752275.49","11089666.59","994667.21","0","4327674.79","20669882.13","8864753.19","8166741.13","837614.48","0","306","1524","1469","425","68","0","273","579","459","272","34","0","25034.91","26467.44","23657.1","26093.33","14627.46","0","15852.29","35699.28","19313.19","30024.78","24635.72","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","청과물 소매","청과물/축산물","도매/유통/무역","0","352443.61","1046650.72","811688.31","0","149521.53","0","128161.31","854408.73","501965.12","117481.21","0","0","44","77","55","0","11","0","22","66","33","11","0","0","8010.08","13592.87","14757.97","0","13592.87","0","5825.51","12945.59","15211.06","10680.11","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","커피전문점","다방/커피숍/카페","음식","0","7238858.09","12151772.76","8168769.31","3966689.11","1130343.24","128183.26","19150578.52","8576625.19","5080718.12","2055593.31","1176955.36","0","600","1130","670","368","92","23","1292","737","460","277","46","0","12064.76","10753.78","12192.19","10779.05","12286.34","5573.19","14822.43","11637.21","11045.04","7420.91","25585.99","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","프랜차이즈_만두 전문점","프랜차이즈_한식","프랜차이즈_음식","0","1457834.94","2392344.51","2146702","1126751.54","176221.8","0","2103981.55","1634056.71","2605946.67","1174812.01","128161.31","0","77","219","187","87","11","0","165","132","219","66","11","0","18932.92","10923.95","11479.69","12951.17","16020.16","0","12751.4","12379.22","11899.3","17800.18","11651.03","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","학원-외국어/어학","학원-어학","학문/교육","0","0","0","0","5340054.69","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","485459.52","0","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","한식/백반 전문점","한식","음식","0","1097128.31","725374.08","1133397.03","0","689105.4","0","199477.88","1187800.06","553097.75","0","0","0","36","36","36","0","9","0","27","126","36","0","0","0","30475.79","20149.28","31483.25","0","76567.27","0","7388.07","9426.98","15363.83","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","호프/맥주","유흥주점","음식","0","1192079.32","4459779.08","2594525.57","0","448782.8","0","0","883541.14","518905.11","0","0","0","42","84","84","0","14","0","0","28","28","0","0","0","28382.84","53092.61","30887.21","0","32055.91","0","0","31555.04","18532.33","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","휴대폰 판매","통신장비","소매","0","0","0","0","0","160201.63","0","0","0","128161.31","0","0","0","0","0","0","0","11","0","0","0","11","0","0","0","0","0","0","0","14563.78","0","0","0","11651.03","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","경양식 전문점","양식","음식","0","0","0","6392045.46","0","724721.71","0","4333835.81","637755.1","376855.28","0","0","0","0","0","84","0","42","0","14","14","14","0","0","0","0","0","76095.78","0","17255.28","0","309559.7","45553.94","26918.23","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","광고기획","광고/인쇄","생활서비스","0","0","0","0","0","0","0","0","0","85440.88","85440.87","0","0","0","0","0","0","0","0","0","0","11","22","0","0","0","0","0","0","0","0","0","0","7767.35","3883.68","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","국수 전문점","분식","음식","0","456179.87","810986.43","371702.11","202746.62","0","0","202746.62","1621972.88","0","810986.43","0","0","68","68","34","34","0","0","34","136","0","68","0","0","6708.53","11926.27","10932.42","5963.14","0","0","5963.14","11926.27","0","11926.27","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","꽃집/꽃배달","선물/팬시/기념품","소매","0","674971.05","6291694.52","2732025.73","1157093.25","0","0","964244.38","2008842.44","337485.53","0","803536.98","0","32","160","48","48","0","0","32","16","16","0","16","0","21092.85","39323.09","56917.2","24106.11","0","0","30132.64","125552.65","21092.85","0","50221.06","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","낙지/오징어 전문점","수산물","음식","0","0","4325444.29","7497436.78","3609876.96","1740857.83","0","0","0","2125341.76","1548615.85","0","0","0","76","99","66","33","0","0","0","33","33","0","0","0","56913.74","75731.68","54695.11","52753.27","0","0","0","64404.3","46927.75","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","문구용품 도매","서적/음반/문구","도매/유통/무역","0","0","544085.21","953551.39","1262053.31","0","0","18697.09","0","710489.27","91615.73","0","0","0","56","38","75","0","0","19","0","19","19","0","0","0","9715.81","25093.46","16827.38","0","0","984.06","0","37394.17","4821.88","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","문구용품 소매","사무/문구/컴퓨터","소매","0","74788.34","0","1183525.54","1862229.78","0","0","0","93485.43","6300917.99","635700.92","0","0","19","0","133","190","0","0","0","19","455","76","0","0","3936.23","0","8898.69","9801.21","0","0","0","4920.29","13848.17","8364.49","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","분식 전문점","분식","음식","0","0","0","844732.54","657014.2","0","0","0","0","3332000.55","422366.27","0","0","0","0","188","188","0","0","0","0","752","94","0","0","0","0","4493.26","3494.76","0","0","0","0","4430.85","4493.26","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","사진관","사진","생활서비스","0","381020.1","431822.8","1778093.89","0","0","0","508026.82","381020.1","711237.56","711237.57","0","0","25","50","25","0","0","0","25","25","50","25","0","0","15240.8","8636.46","71123.76","0","0","0","20321.07","15240.8","14224.75","28449.5","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","사회단체","기타교육기관","학문/교육","0","71556.73","12997265.87","29381461.46","11597423.94","2513296.72","0","6225969.77","15740078.15","15100393.02","9649906.01","3197784.96","0","11","329","721","274","77","0","99","536","284","295","186","0","6505.16","39505.37","40750.99","42326.36","32640.22","0","62888.58","29365.82","53170.4","32711.55","17192.39","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100021000001","산업용 사진","기술서비스","기술서비스","0","0","25205.06","58740.6","819057.57","0","0","0","909454.02","11748.13","0","0","0","0","11","11","44","0","0","0","44","11","0","0","0","0","2291.37","5340.05","18614.94","0","0","0","20669.41","1068.01","0","0","2016-03-30 오후 6:39:20"
