,stdr_yy_cd,stdr_qu_cd,trdar_se_cd,trdar_se_cd_nm,trdar_cd,trdar_cd_nm,tot_flpop_co
23838,2018,1,A,골목상권,1000001,계동길,188508
23839,2018,1,A,골목상권,1000002,난계로27길,221016
23840,2018,1,A,골목상권,1000003,돈화문로11가길,126611
23841,2018,1,A,골목상권,1000004,명륜길,333306
23842,2018,1,A,골목상권,1000005,백석동길,24734
23843,2018,1,A,골목상권,1000006,북촌로11길,58697
23844,2018,1,A,골목상권,1000007,북촌로5길,30330
23845,2018,1,A,골목상권,1000008,북촌로5나길,31363
23846,2018,1,A,골목상권,1000009,삼청로5길,21795
23847,2018,1,A,골목상권,1000010,성균관로5길,220842
23848,2018,1,A,골목상권,1000011,숭인동길,92858
23849,2018,1,A,골목상권,1000012,옥인길,200528
23850,2018,1,A,골목상권,1000013,율곡로10길,78326
23851,2018,1,A,골목상권,1000014,율곡로16길,69147
23852,2018,1,A,골목상권,1000015,이화장길,163770
23853,2018,1,A,골목상권,1000016,자하문로7길,160663
23854,2018,1,A,골목상권,1000017,종로24길,101627
23855,2018,1,A,골목상권,1000018,종로58가길,215208
23856,2018,1,A,골목상권,1000019,종로65길,253305
23857,2018,1,A,골목상권,1000020,지봉로8길,298479
23858,2018,1,A,골목상권,1000021,창경궁로35길,114064
23859,2018,1,A,골목상권,1000022,창신2길,86034
23860,2018,1,A,골목상권,1000023,창신5길,204276
23861,2018,1,A,골목상권,1000024,창신길,197877
23862,2018,1,A,골목상권,1000025,통일로12길,380865
23863,2018,1,A,골목상권,1000026,평창길,19242
23864,2018,1,A,골목상권,1000027,필운대로1길,75114
23865,2018,1,A,골목상권,1000028,난계로11길,411508
23866,2018,1,A,골목상권,1000029,난계로21길,137580
23867,2018,1,A,골목상권,1000030,다산로33길,343628
23868,2018,1,A,골목상권,1000031,다산로36길,168868
23869,2018,1,A,골목상권,1000032,다산로38길,392346
23870,2018,1,A,골목상권,1000033,다산로39길,320452
23871,2018,1,A,골목상권,1000034,동호로10길,340673
23872,2018,1,A,골목상권,1000035,동호로11길,138943
23873,2018,1,A,골목상권,1000036,동호로15길,180195
23874,2018,1,A,골목상권,1000037,동호로20길,130769
23875,2018,1,A,골목상권,1000038,동호로8길,73941
23876,2018,1,A,골목상권,1000039,명동길,131189
23877,2018,1,A,골목상권,1000040,삼일대로4길,179425
23878,2018,1,A,골목상권,1000041,장충단로8길,111843
23879,2018,1,A,골목상권,1000042,청구로17길,178096
23880,2018,1,A,골목상권,1000043,청구로1길,110413
23881,2018,1,A,골목상권,1000044,퇴계로12길,73430
23882,2018,1,A,골목상권,1000045,퇴계로18길,43167
23883,2018,1,A,골목상권,1000046,퇴계로46길,465029
23884,2018,1,A,골목상권,1000047,퇴계로56길,121433
23885,2018,1,A,골목상권,1000048,퇴계로8길,92799
23886,2018,1,A,골목상권,1000049,퇴계로90길,195666
23887,2018,1,A,골목상권,1000050,녹사평대로11길,9732
23888,2018,1,A,골목상권,1000051,녹사평대로26길,134772
23889,2018,1,A,골목상권,1000052,녹사평대로32길,170466
23890,2018,1,A,골목상권,1000053,녹사평대로40나길,133500
23891,2018,1,A,골목상권,1000054,녹사평대로46길,100685
23892,2018,1,A,골목상권,1000055,대사관로34길,151532
23893,2018,1,A,골목상권,1000056,두텁바위로1길,114239
23894,2018,1,A,골목상권,1000057,백범로79길,300932
23895,2018,1,A,골목상권,1000058,백범로90길,384298
23896,2018,1,A,골목상권,1000059,서빙고로71길,70214
23897,2018,1,A,골목상권,1000060,소월로20길,167770
23898,2018,1,A,골목상권,1000061,신흥로20길,112126
23899,2018,1,A,골목상권,1000062,우사단로10길,172145
23900,2018,1,A,골목상권,1000063,우사단로14길,344906
23901,2018,1,A,골목상권,1000064,우사단로4길,171917
23902,2018,1,A,골목상권,1000065,원효로19길,147944
23903,2018,1,A,골목상권,1000066,원효로41길,108700
23904,2018,1,A,골목상권,1000067,원효로53길,165341
23905,2018,1,A,골목상권,1000068,원효로89길,265405
23906,2018,1,A,골목상권,1000069,이촌로22길,39265
23907,2018,1,A,골목상권,1000070,이태원로27길,259888
23908,2018,1,A,골목상권,1000071,이태원로54길,208680
23909,2018,1,A,골목상권,1000072,장문로45길,171418
23910,2018,1,A,골목상권,1000073,청파로47길,766112
23911,2018,1,A,골목상권,1000074,청파로47나길,111274
23912,2018,1,A,골목상권,1000075,청파로71길,335657
23913,2018,1,A,골목상권,1000076,청파로73길,156469
23914,2018,1,A,골목상권,1000077,한강대로104길,277897
23915,2018,1,A,골목상권,1000078,한강대로15길,55271
23916,2018,1,A,골목상권,1000079,한강대로43길,340865
23917,2018,1,A,골목상권,1000080,한강대로52길,420174
23918,2018,1,A,골목상권,1000081,한강대로62길,73374
23919,2018,1,A,골목상권,1000082,한강대로7길,154970
23920,2018,1,A,골목상권,1000083,한강대로88길,51132
23921,2018,1,A,골목상권,1000084,한남대로20길,195714
23922,2018,1,A,골목상권,1000085,회나무로13길,136505
23923,2018,1,A,골목상권,1000086,효창원로39길,217930
