,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시군구_코드,행정동_코드
0,R,전통시장,1001475,강남개포시장,11680,11680670
1,R,전통시장,1001412,화곡본동시장,11500,11500590
2,R,전통시장,1001413,까치산시장,11500,11500593
3,R,전통시장,1001414,송화골목시장,11500,11500611
4,R,전통시장,1001452,중부시장,11620,11620575
5,R,전통시장,1001415,방신전통시장,11500,11500630
6,R,전통시장,1001416,공항시장,11500,11500640
7,R,전통시장,1001423,독산동 우시장,11545,11545610
8,R,전통시장,1001424,남문시장,11545,11545630
9,R,전통시장,1001425,푸른터시장,11545,11545630
10,R,전통시장,1001426,대명시장,11545,11545670
11,R,전통시장,1001427,현대시장,11545,11545670
12,R,전통시장,1001428,박미시장,11545,11545690
13,R,전통시장,1001429,은행나무시장,11545,11545710
14,R,전통시장,1001470,강남시장_강남,11680,11680510
15,R,전통시장,1001372,녹번시장,11380,11380580
16,R,전통시장,1001373,신응암시장,11380,11380590
17,R,전통시장,1001374,대림골목시장,11380,11380600
18,R,전통시장,1001480,새마을시장,11710,11710650
19,R,전통시장,1001440,노량진중앙시장,11590,11590510
20,R,전통시장,1001441,본동인정시장,11590,11590510
21,R,전통시장,1001442,신노량진시장,11590,11590520
22,R,전통시장,1001443,강남시장_동작,11590,11590530
23,R,전통시장,1001444,상도전통시장,11590,11590530
24,R,전통시장,1001445,영도시장,11590,11590540
25,R,전통시장,1001446,성대시장,11590,11590550
26,R,전통시장,1001375,증산종합시장,11380,11380640
27,R,전통시장,1001376,수일시장,11380,11380650
28,R,전통시장,1001460,관악신사시장,11620,11620685
29,R,전통시장,1001461,신림종합시장,11620,11620685
30,R,전통시장,1001462,강남골목시장,11620,11620725
31,R,전통시장,1001463,신림중앙시장,11620,11620725
32,R,전통시장,1001464,삼성동시장,11620,11620745
33,R,전통시장,1001465,신신림시장,11620,11620745
34,R,전통시장,1001466,미성동도깨비시장,11620,11620765
35,R,전통시장,1001467,우림시장,11620,11620775
36,R,전통시장,1001437,영진시장A동,11560,11560680
37,R,전통시장,1001438,우리시장,11560,11560700
38,R,전통시장,1001439,대림중앙시장,11560,11560710
39,R,전통시장,1001417,구로시장,11530,11530550
40,R,전통시장,1001418,남구로시장,11530,11530550
41,R,전통시장,1001419,가리봉시장,11530,11530595
42,R,전통시장,1001420,고척근린시장,11530,11530730
43,R,전통시장,1001421,개봉중앙시장,11530,11530750
44,R,전통시장,1001422,오류시장,11530,11530770
45,R,전통시장,1001476,풍납시장,11710,11710510
46,R,전통시장,1001477,마천시장,11710,11710550
