"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","SUN_SALE_AMT","MON_SALE_AMT","TUS_SALE_AMT","WED_SALE_AMT","THU_SALE_AMT","FRI_SALE_AMT","SAT_SALE_AMT","SUN_APV_CNT","MON_APV_CNT","TUS_APV_CNT","WED_APV_CNT","THU_APV_CNT","FRI_APV_CNT","SAT_APV_CNT","SUN_PRICE","MON_PRICE","TUS_PRICE","WED_PRICE","THU_PRICE","FRI_PRICE","SAT_PRICE","DATA_LOAD_DT"
"201603","서울특별시","종로구","사직동","11010530100011000001","경양식 전문점","양식","음식","5483244.42","4491825.13","9314703.14","7228374.27","8575631.91","9838097.15","11287540.57","210","140","266","182","280","238","350","26110.69","32084.47","35017.68","39716.34","30627.26","41336.54","32250.12","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","국수 전문점","분식","음식","0","6014816.12","5102456.33","11556556.7","7602997.86","878568.68","5947233.86","0","510","306","306","306","136","272","0","11793.76","16674.69","37766.53","24846.4","6460.06","21864.83","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","노래방","무도/유흥/가무","관광/여가/오락","460688.11","0","460688.11","1326781.74","644963.35","2045455.18","0","18","0","18","18","18","18","0","25593.78","0","25593.78","73710.1","35831.3","113636.4","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530308031000001","카페","다방/커피숍/카페","음식","0","84411.65","347025.65","56274.44","422058.24","347025.67","196960.51","0","19","38","19","76","57","38","0","4442.72","9132.25","2961.81","5553.4","6088.17","5183.17","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","의류 판매-기타","의복","소매","5803075.73","0","0","1509074.06","2030390.56","3059304.7","3306244.08","111","0","0","28","28","42","42","52279.96","0","0","53895.5","72513.95","72840.59","78720.1","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","프랜차이즈_라면 전문점","프랜차이즈_분식","프랜차이즈_음식","10112502.68","1902352.01","7409160.41","6316900.9","5757117.87","6908541.43","7677674.25","506","92","368","230","368","414","321","19985.18","20677.74","20133.59","27464.79","15644.34","16687.3","23917.99","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","한식/백반 전문점","한식","음식","46430742.48","17953915.63","23816298.39","21262528.24","26359187.93","22613537.54","39293968.06","1458","558","1071","918","864","702","1269","31845.5","32175.48","22237.44","23161.8","30508.32","32213.02","30964.51","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","여관/여인숙","모텔/여관/여인숙","숙박","1914557.87","0","0","0","0","0","671774.7","11","0","0","0","0","0","11","174050.72","0","0","0","0","0","61070.43","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100041000001","의류 판매-여성전문","의복","소매","18173350.44","0","82874424.84","34059334.47","31466985.85","8395980.26","21922837.35","72","0","162","54","54","18","54","252407.65","0","511570.52","630728.42","582721.96","466443.35","405978.47","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","당구장","PC/오락/당구/볼링등","관광/여가/오락","352081.73","174632.55","1098495.02","0","174632.55","0","704163.46","56","28","56","0","28","0","28","6287.17","6236.88","19615.98","0","6236.88","0","25148.7","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530100011000001","면/만두/수제비 전문점","한식","음식","0","3545796.34","1569976.09","2178742.32","4165242.66","3321514","1206852.35","0","132","98","121","142","154","66","0","26862.09","16020.16","18006.13","29332.69","21568.27","18285.64","2016-03-30 오후 6:39:20"
